sample,measured_angle,simple_narx_simulation,advanced_gru_simulation,advanced_lstm_simulation
339,1.0273007977238624,0.848212718963623,1.0936535596847534,1.0473304986953735
340,1.0712830948741194,0.9011764526367188,1.1431721448898315,1.0997344255447388
341,1.0430087609918115,0.8842225074768066,1.1107864379882812,1.0722177028656006
342,0.9361946107697584,0.8025063276290894,0.9997323751449585,0.9674530029296875
343,0.7665486074759096,0.665886640548706,0.8197160959243774,0.7947525978088379
344,0.5403539364174444,0.48895055055618286,0.5865670442581177,0.5690512657165527
345,0.29216811678385074,0.28986185789108276,0.3207816779613495,0.3108510971069336
346,0.031415926535897934,0.08770687878131866,0.04668433964252472,0.04453904181718826
347,-0.21048670779051615,-0.10021042823791504,-0.21017110347747803,-0.20540006458759308
348,-0.41154863762026295,-0.2597780227661133,-0.4272609353065491,-0.41704174876213074
349,-0.5529203070318035,-0.3805200755596161,-0.5878044366836548,-0.5727221965789795
