sample,measured_angle,simple_narx_simulation,advanced_lstm_simulation
101,0.91106186954104,0.8149510622024536,0.9323160648345947
102,1.0273007977238624,0.8579174280166626,1.0528067350387573
103,1.093274243449248,0.8643767833709717,1.1185373067855835
104,1.105840614063607,0.8365869522094727,1.1311171054840088
105,1.0681415022205296,0.7773033380508423,1.0922706127166748
106,0.9801769079200154,0.6897978782653809,1.0024306774139404
107,0.8419468311620646,0.5781193971633911,0.8647022247314453
108,0.669159235214626,0.4473092555999756,0.6851975917816162
109,0.4586725274241098,0.30347537994384766,0.47344306111335754
110,0.23876104167282428,0.153845876455307,0.2430775910615921
111,0.012566370614359173,0.006709428504109383,0.011748917400836945
112,-0.19792033717615698,-0.12899693846702576,-0.2015877068042755
113,-0.37070793312359557,-0.24457290768623352,-0.3817363381385803
114,-0.5026548245743669,-0.3327065110206604,-0.5168584585189819
115,-0.578053048260522,-0.38846275210380554,-0.5944761037826538
116,-0.6000441968356505,-0.40982115268707275,-0.6147242784500122
117,-0.5654866776461628,-0.3977300226688385,-0.5824136734008789
118,-0.48694686130641796,-0.3558576703071594,-0.5036609172821045
119,-0.37070793312359557,-0.2901861369609833,-0.3885609209537506
120,-0.23561944901923448,-0.20847415924072266,-0.25020334124565125
121,-0.09110618695410401,-0.11954151093959808,-0.10356704890727997
122,0.047123889803846894,-0.03234952688217163,0.035980433225631714
123,0.16336281798666927,0.04502556473016739,0.15429258346557617
124,0.24504422698000386,0.10632409155368805,0.23987385630607605
125,0.289026524130261,0.14770516753196716,0.28653690218925476
126,0.29530970943744056,0.16791664063930511,0.29544705152511597
127,0.2701769682087222,0.1680852323770523,0.2724344730377197
128,0.21991148575128552,0.15123167634010315,0.22431819140911102
129,0.15393804002589986,0.12158132344484329,0.15887871384620667
130,0.07853981633974483,0.0837426632642746,0.08504603803157806
131,0.006283185307179587,0.04190116003155708,0.011434512212872505
132,-0.05969026041820607,-0.000779028981924057,-0.05506512522697449
133,-0.11309733552923255,-0.042412251234054565,-0.10943658649921417
134,-0.15393804002589986,-0.08230523020029068,-0.14881987869739532
135,-0.1759291886010284,-0.12061843276023865,-0.17385363578796387
136,-0.1916371518689774,-0.15785111486911774,-0.18737702071666718
137,-0.19477874452256716,-0.19420497119426727,-0.19281895458698273
138,-0.1916371518689774,-0.2289251983165741,-0.19300729036331177
139,-0.1916371518689774,-0.2597920000553131,-0.18928442895412445
140,-0.1916371518689774,-0.2829385995864868,-0.18143817782402039
141,-0.18221237390820802,-0.2931036055088043,-0.16778287291526794
142,-0.16336281798666927,-0.28431811928749084,-0.14468137919902802
143,-0.12252211349000193,-0.2508948743343353,-0.10640545189380646
144,-0.06597344572538566,-0.18851768970489502,-0.047770723700523376
145,0.015707963267948967,-0.0953051745891571,0.03276241198182106
146,0.11623892818282235,0.027140401303768158,0.1328398883342743
147,0.2324778563656447,0.17273564636707306,0.2463449388742447
148,0.34871678454846705,0.3303300142288208,0.3633243441581726
149,0.4586725274241098,0.484231561422348,0.4712909460067749
150,0.5434955290710342,0.616356611251831,0.5564918518066406
151,0.5937610115284709,0.7095154523849487,0.6023101806640625
152,0.5937610115284709,0.7502560615539551,0.5984592437744141
153,0.5434955290710342,0.7299591302871704,0.541663408279419
154,0.43353978619539146,0.6445584297180176,0.4291743040084839
155,0.273318560862312,0.49445512890815735,0.263394296169281
156,0.06283185307179587,0.28573712706565857,0.05441732704639435
157,-0.17278759594743864,0.03247065097093582,-0.18085886538028717
158,-0.40840704496667307,-0.24173498153686523,-0.42025163769721985
159,-0.6251769380643689,-0.5057847499847412,-0.6385209560394287
160,-0.8042477193189871,-0.7280652523040771,-0.8156882524490356
161,-0.9236282401553992,-0.8847379684448242,-0.9332282543182373
162,-0.9738937226128359,-0.9632532596588135,-0.9786940813064575
163,-0.9424777960769379,-0.9598063230514526,-0.9474337100982666
164,-0.835663645854885,-0.8754388093948364,-0.8359463214874268
165,-0.6503096792930871,-0.7148885726928711,-0.6486269235610962
166,-0.3989822670059037,-0.4880753457546234,-0.3974536061286926
167,-0.11309733552923255,-0.21226650476455688,-0.1023416668176651
168,0.19477874452256716,0.08709382265806198,0.20924067497253418
169,0.48066367599923837,0.37900376319885254,0.5068032145500183
170,0.7382742735936014,0.6330834627151489,0.7616606950759888
171,0.9267698328089891,0.8262784481048584,0.9532203674316406
172,1.0430087609918115,0.9461528062820435,1.068524718284607
173,1.080707872834889,0.9896073341369629,1.103151798248291
174,1.0398671683382215,0.9596973657608032,1.059815764427185
175,0.9267698328089891,0.8638232946395874,0.9444704055786133
176,0.7539822368615503,0.7138321399688721,0.7680070400238037
177,0.5372123437638546,0.5260481834411621,0.5465364456176758
178,0.29530970943744056,0.31962651014328003,0.3009938597679138
179,0.053407075111026485,0.11384813487529755,0.05504035949707031
180,-0.16650441064025903,-0.07404153048992157,-0.16862736642360687
181,-0.3424335992412874,-0.23000776767730713,-0.3514476716518402
